Churn,customer.tenure,account.Charges.Monthly,account.Contract,customer.SeniorCitizen,internet.InternetService,account.PaymentMethod
No,27,75.75,Month-to-month,0,Fiber optic,Bank transfer (automatic)
Yes,2,49.25,Month-to-month,1,DSL,Electronic check
No,27,78.2,One year,0,DSL,Mailed check
No,25,25.5,Two year,0,No,Credit card (automatic)
No,25,61.6,One year,0,DSL,Bank transfer (automatic)
No,29,45.0,Month-to-month,0,DSL,Mailed check
No,72,85.15,Two year,0,DSL,Bank transfer (automatic)
No,14,51.45,One year,0,DSL,Credit card (automatic)
No,35,99.25,One year,0,Fiber optic,Electronic check
No,1,44.3,Month-to-month,0,DSL,Mailed check
No,29,94.2,Month-to-month,0,Fiber optic,Electronic check
No,64,81.25,One year,0,DSL,Electronic check
No,39,99.95,Month-to-month,0,Fiber optic,Credit card (automatic)
No,40,91.55,Month-to-month,1,Fiber optic,Electronic check
Yes,40,104.5,Month-to-month,0,Fiber optic,Credit card (automatic)
Yes,11,95.0,Month-to-month,1,Fiber optic,Electronic check
No,6,50.35,Month-to-month,0,DSL,Electronic check
No,30,64.5,Month-to-month,0,DSL,Mailed check
No,27,19.4,Month-to-month,0,No,Electronic check
No,70,104.8,One year,1,Fiber optic,Electronic check
No,57,109.4,One year,0,Fiber optic,Bank transfer (automatic)
No,58,50.3,One year,0,DSL,Credit card (automatic)
No,16,71.4,Month-to-month,0,DSL,Bank transfer (automatic)
No,69,116.0,Two year,0,Fiber optic,Electronic check
Yes,1,19.85,Month-to-month,0,No,Electronic check
Yes,1,99.75,Month-to-month,0,Fiber optic,Electronic check
No,32,93.95,Month-to-month,1,Fiber optic,Mailed check
No,16,90.8,Month-to-month,0,Fiber optic,Bank transfer (automatic)
Yes,49,84.35,One year,0,DSL,Electronic check
No,71,58.25,Two year,0,DSL,Bank transfer (automatic)
No,33,107.55,Month-to-month,0,Fiber optic,Electronic check
No,10,19.95,Month-to-month,0,No,Bank transfer (automatic)
Yes,21,111.2,Month-to-month,0,Fiber optic,Electronic check
Yes,37,40.2,Month-to-month,0,DSL,Bank transfer (automatic)
No,26,85.8,Month-to-month,1,Fiber optic,Credit card (automatic)
,71,19.9,Two year,0,No,Credit card (automatic)
No,50,35.4,One year,0,DSL,Mailed check
Yes,7,73.85,Month-to-month,0,Fiber optic,Electronic check
No,61,88.1,Two year,0,DSL,Mailed check
Yes,15,101.35,Month-to-month,0,Fiber optic,Electronic check
No,26,45.8,Month-to-month,0,DSL,Mailed check
No,72,94.65,Month-to-month,0,Fiber optic,Electronic check
No,44,20.5,One year,0,No,Bank transfer (automatic)
No,66,89.4,Month-to-month,0,Fiber optic,Credit card (automatic)
Yes,2,86.25,Month-to-month,0,Fiber optic,Electronic check
No,44,74.85,One year,1,DSL,Bank transfer (automatic)
Yes,12,89.75,Month-to-month,0,Fiber optic,Bank transfer (automatic)
No,69,109.95,Two year,1,Fiber optic,Electronic check
Yes,1,80.2,Month-to-month,0,Fiber optic,Mailed check
Yes,3,19.85,Month-to-month,0,No,Mailed check
No,2,90.35,Month-to-month,0,Fiber optic,Electronic check
No,27,86.45,Month-to-month,1,Fiber optic,Bank transfer (automatic)
No,26,20.3,Month-to-month,0,No,Electronic check
No,39,101.25,Month-to-month,1,Fiber optic,Electronic check
Yes,25,94.7,Month-to-month,0,Fiber optic,Bank transfer (automatic)
Yes,1,70.9,Month-to-month,0,Fiber optic,Mailed check
,29,58.75,One year,0,DSL,Electronic check
Yes,22,54.2,Month-to-month,0,DSL,Electronic check
,5,59.9,Month-to-month,1,DSL,Credit card (automatic)
No,72,114.9,Two year,0,Fiber optic,Electronic check
No,24,19.55,Two year,0,No,Bank transfer (automatic)
No,19,86.85,Month-to-month,0,Fiber optic,Electronic check
No,71,25.35,Two year,0,No,Credit card (automatic)
No,33,109.9,Month-to-month,1,Fiber optic,Bank transfer (automatic)
No,3,19.95,Month-to-month,0,No,Mailed check
No,47,87.2,Month-to-month,0,Fiber optic,Electronic check
No,62,108.15,Two year,0,Fiber optic,Mailed check
No,71,116.3,One year,0,Fiber optic,Bank transfer (automatic)
No,7,89.0,Month-to-month,1,Fiber optic,Electronic check
No,27,74.4,Month-to-month,0,Fiber optic,Mailed check
No,2,20.05,Month-to-month,0,No,Mailed check
No,25,35.05,Two year,0,DSL,Bank transfer (automatic)
No,30,74.75,Month-to-month,1,DSL,Electronic check
Yes,58,105.5,One year,1,Fiber optic,Credit card (automatic)
Yes,10,85.25,Month-to-month,0,Fiber optic,Electronic check
No,9,75.2,Month-to-month,0,Fiber optic,Credit card (automatic)
Yes,6,84.35,Month-to-month,1,Fiber optic,Electronic check
No,69,84.45,One year,0,Fiber optic,Bank transfer (automatic)
No,66,102.4,Two year,1,Fiber optic,Bank transfer (automatic)
Yes,70,115.55,One year,0,Fiber optic,Credit card (automatic)
Yes,25,25.3,One year,0,No,Bank transfer (automatic)
No,46,19.25,Two year,0,No,Mailed check
No,54,114.65,One year,0,Fiber optic,Mailed check
Yes,15,105.1,Month-to-month,0,Fiber optic,Electronic check
No,12,19.4,Month-to-month,0,No,Bank transfer (automatic)
No,22,50.35,Month-to-month,0,DSL,Electronic check
No,70,57.8,Two year,0,DSL,Bank transfer (automatic)
No,30,84.3,Month-to-month,0,Fiber optic,Credit card (automatic)
No,71,100.55,One year,0,Fiber optic,Bank transfer (automatic)
No,30,19.8,One year,0,No,Credit card (automatic)
Yes,4,84.8,Month-to-month,0,Fiber optic,Bank transfer (automatic)
Yes,2,85.85,Month-to-month,0,Fiber optic,Electronic check
No,10,19.95,One year,0,No,Bank transfer (automatic)
No,4,75.35,Month-to-month,1,Fiber optic,Electronic check
No,52,48.8,Month-to-month,1,DSL,Credit card (automatic)
Yes,5,47.15,Month-to-month,0,DSL,Electronic check
No,8,20.15,Two year,0,No,Mailed check
No,2,44.3,Month-to-month,1,DSL,Electronic check
No,3,84.3,Month-to-month,0,Fiber optic,Electronic check
No,19,59.55,Month-to-month,0,DSL,Electronic check
No,72,69.65,Two year,0,DSL,Bank transfer (automatic)
No,63,36.1,One year,1,DSL,Bank transfer (automatic)
No,66,56.6,Two year,0,DSL,Bank transfer (automatic)
Yes,1,75.9,Month-to-month,0,Fiber optic,Electronic check
No,60,79.2,One year,0,Fiber optic,Bank transfer (automatic)
No,48,45.0,One year,0,DSL,Credit card (automatic)
Yes,1,85.55,Month-to-month,0,Fiber optic,Credit card (automatic)
Yes,15,93.35,Month-to-month,0,Fiber optic,Electronic check
No,50,109.65,Month-to-month,0,Fiber optic,Bank transfer (automatic)
No,72,89.7,Two year,0,DSL,Credit card (automatic)
No,46,84.25,Month-to-month,0,Fiber optic,Mailed check
No,72,92.65,Two year,0,DSL,Bank transfer (automatic)
No,1,19.7,Month-to-month,0,No,Mailed check
No,1,50.1,Month-to-month,0,DSL,Electronic check
No,67,92.45,Two year,1,Fiber optic,Bank transfer (automatic)
No,48,79.65,Two year,0,DSL,Electronic check
No,72,109.9,Two year,0,Fiber optic,Electronic check
No,52,81.4,One year,0,DSL,Credit card (automatic)
No,67,50.55,One year,0,DSL,Credit card (automatic)
Yes,28,81.05,Month-to-month,0,Fiber optic,Electronic check
No,32,62.45,Month-to-month,0,DSL,Bank transfer (automatic)
Yes,27,75.2,Month-to-month,1,Fiber optic,Bank transfer (automatic)
No,3,90.4,Month-to-month,0,Fiber optic,Electronic check
Yes,2,85.65,Month-to-month,0,Fiber optic,Electronic check
Yes,9,72.9,Month-to-month,0,DSL,Mailed check
No,50,70.5,Two year,0,DSL,Credit card (automatic)
No,71,20.1,Two year,0,No,Bank transfer (automatic)
Yes,32,74.9,Month-to-month,1,Fiber optic,Electronic check
No,16,100.7,Month-to-month,0,Fiber optic,Bank transfer (automatic)
No,67,105.65,Two year,0,Fiber optic,Bank transfer (automatic)
No,72,114.3,Two year,0,Fiber optic,Credit card (automatic)
Yes,3,19.75,Month-to-month,0,No,Electronic check
No,23,24.35,One year,0,No,Mailed check
No,72,69.85,Two year,0,DSL,Bank transfer (automatic)
No,7,58.85,Month-to-month,0,DSL,Mailed check
,65,103.15,One year,1,Fiber optic,Bank transfer (automatic)
No,8,54.4,Month-to-month,0,DSL,Electronic check
No,66,50.55,Two year,0,DSL,Bank transfer (automatic)
Yes,5,21.05,Month-to-month,0,No,Mailed check
Yes,49,103.7,Month-to-month,0,Fiber optic,Bank transfer (automatic)
No,63,19.95,Two year,0,No,Bank transfer (automatic)
No,12,29.3,Month-to-month,1,DSL,Mailed check
No,27,54.75,Month-to-month,0,DSL,Credit card (automatic)
No,35,60.55,Month-to-month,0,DSL,Electronic check
No,54,86.2,Month-to-month,0,DSL,Electronic check
Yes,1,95.45,Month-to-month,0,Fiber optic,Electronic check
No,5,63.95,Month-to-month,0,DSL,Credit card (automatic)
No,19,65.35,One year,0,DSL,Bank transfer (automatic)
No,52,50.2,Two year,0,DSL,Mailed check
No,72,63.8,Two year,0,DSL,Bank transfer (automatic)
No,32,20.05,Two year,0,No,Bank transfer (automatic)
Yes,8,101.15,Month-to-month,0,Fiber optic,Electronic check
No,41,65.0,One year,0,DSL,Mailed check
No,5,19.25,Month-to-month,0,No,Mailed check
No,11,36.05,One year,0,DSL,Mailed check
Yes,5,96.1,Month-to-month,0,Fiber optic,Electronic check
No,16,19.05,One year,0,No,Mailed check
No,71,105.75,One year,1,Fiber optic,Bank transfer (automatic)
No,11,40.4,One year,0,DSL,Credit card (automatic)
Yes,61,99.15,Month-to-month,0,Fiber optic,Electronic check
No,71,84.8,One year,0,DSL,Bank transfer (automatic)
No,9,19.85,Month-to-month,0,No,Mailed check
No,6,49.45,Month-to-month,0,DSL,Electronic check
Yes,26,88.8,Month-to-month,0,Fiber optic,Bank transfer (automatic)
No,6,55.15,Month-to-month,0,DSL,Mailed check
No,11,84.8,Month-to-month,0,Fiber optic,Electronic check
Yes,1,80.55,Month-to-month,0,Fiber optic,Electronic check
No,49,20.15,Two year,0,No,Bank transfer (automatic)
No,3,58.7,Month-to-month,0,DSL,Credit card (automatic)
No,53,99.5,Two year,0,Fiber optic,Mailed check
Yes,23,99.85,Month-to-month,0,Fiber optic,Electronic check
Yes,2,45.35,Month-to-month,0,DSL,Electronic check
Yes,1,48.55,Month-to-month,0,DSL,Mailed check
No,3,26.4,Two year,0,No,Mailed check
Yes,68,100.2,Month-to-month,1,Fiber optic,Electronic check
Yes,8,94.7,Month-to-month,0,Fiber optic,Electronic check
No,70,97.65,One year,0,Fiber optic,Electronic check
No,39,100.0,One year,0,Fiber optic,Electronic check
Yes,1,70.1,Month-to-month,0,Fiber optic,Electronic check
,51,34.2,Two year,0,DSL,Bank transfer (automatic)
Yes,3,97.9,Month-to-month,0,Fiber optic,Electronic check
No,60,102.5,One year,0,Fiber optic,Bank transfer (automatic)
Yes,5,69.95,Month-to-month,0,Fiber optic,Electronic check
Yes,3,81.35,Month-to-month,1,Fiber optic,Electronic check
No,55,66.05,One year,0,DSL,Credit card (automatic)
No,72,61.2,Two year,0,DSL,Credit card (automatic)
No,72,74.4,Two year,1,DSL,Bank transfer (automatic)
Yes,41,106.3,Month-to-month,0,Fiber optic,Electronic check
No,60,39.6,Two year,0,DSL,Bank transfer (automatic)
Yes,6,89.3,Month-to-month,0,Fiber optic,Electronic check
No,46,108.9,Two year,0,Fiber optic,Credit card (automatic)
No,15,19.9,Month-to-month,0,No,Mailed check
Yes,58,102.1,Month-to-month,0,Fiber optic,Credit card (automatic)
No,23,19.6,Two year,0,No,Credit card (automatic)
Yes,31,98.9,Month-to-month,1,Fiber optic,Electronic check
No,11,45.9,Month-to-month,0,DSL,Bank transfer (automatic)
No,56,99.9,Two year,1,Fiber optic,Bank transfer (automatic)
No,25,20.05,Month-to-month,0,No,Credit card (automatic)
No,68,64.35,Two year,0,DSL,Credit card (automatic)
No,40,19.65,Two year,0,No,Credit card (automatic)
Yes,36,84.9,Month-to-month,0,Fiber optic,Electronic check
Yes,32,108.15,Month-to-month,0,Fiber optic,Credit card (automatic)
No,71,86.85,Two year,0,DSL,Bank transfer (automatic)
No,17,102.55,Month-to-month,0,Fiber optic,Electronic check
No,18,78.2,Month-to-month,0,Fiber optic,Electronic check
No,37,91.2,Month-to-month,0,Fiber optic,Bank transfer (automatic)
No,2,19.35,Month-to-month,0,No,Mailed check
No,28,70.4,One year,0,Fiber optic,Bank transfer (automatic)
No,9,39.55,One year,0,DSL,Mailed check
No,1,50.15,Month-to-month,0,DSL,Electronic check
No,65,20.4,Two year,0,No,Credit card (automatic)
No,3,44.6,Month-to-month,0,DSL,Electronic check
Yes,1,34.7,Month-to-month,0,DSL,Electronic check
No,36,93.6,Month-to-month,0,Fiber optic,Electronic check
Yes,23,90.6,Month-to-month,0,Fiber optic,Electronic check
No,22,57.95,Month-to-month,0,DSL,Mailed check
No,72,112.1,Two year,0,Fiber optic,Credit card (automatic)
Yes,17,88.25,Month-to-month,0,Fiber optic,Electronic check
Yes,3,85.8,Month-to-month,0,Fiber optic,Electronic check
Yes,58,60.3,One year,0,DSL,Credit card (automatic)
No,67,81.35,Two year,0,DSL,Credit card (automatic)
No,34,99.85,One year,1,Fiber optic,Electronic check
No,10,20.0,Month-to-month,0,No,Credit card (automatic)
No,69,85.35,Two year,0,DSL,Credit card (automatic)
No,40,62.05,One year,0,DSL,Credit card (automatic)
No,20,64.4,Month-to-month,0,DSL,Credit card (automatic)
No,46,19.4,Two year,0,No,Mailed check
Yes,2,74.4,Month-to-month,0,Fiber optic,Electronic check
Yes,1,70.45,Month-to-month,1,Fiber optic,Mailed check
No,72,105.0,Two year,0,Fiber optic,Credit card (automatic)
No,70,25.15,Two year,0,No,Credit card (automatic)
No,2,19.3,Month-to-month,0,No,Mailed check
No,23,55.3,Month-to-month,0,DSL,Bank transfer (automatic)
No,36,95.4,Month-to-month,0,Fiber optic,Electronic check
Yes,59,93.85,Month-to-month,1,Fiber optic,Bank transfer (automatic)
No,67,20.5,Two year,0,No,Bank transfer (automatic)
No,72,105.55,Two year,0,Fiber optic,Bank transfer (automatic)
Yes,37,101.9,Month-to-month,0,Fiber optic,Bank transfer (automatic)
No,72,24.45,Two year,0,No,Bank transfer (automatic)
No,72,19.7,Two year,0,No,Credit card (automatic)
Yes,3,74.4,Month-to-month,0,Fiber optic,Electronic check
Yes,54,101.5,One year,1,Fiber optic,Credit card (automatic)
Yes,60,95.75,Month-to-month,0,Fiber optic,Electronic check
No,58,110.65,One year,0,Fiber optic,Credit card (automatic)
No,31,83.85,Month-to-month,0,Fiber optic,Bank transfer (automatic)
No,3,60.25,Month-to-month,0,DSL,Electronic check
No,55,59.2,Two year,0,DSL,Electronic check
Yes,1,44.4,Month-to-month,0,DSL,Mailed check
No,49,85.3,Month-to-month,0,Fiber optic,Credit card (automatic)
Yes,8,25.5,Month-to-month,0,DSL,Mailed check
No,39,99.75,Month-to-month,1,Fiber optic,Electronic check
No,66,66.1,Two year,0,DSL,Credit card (automatic)
No,15,20.55,One year,0,No,Mailed check
No,51,98.85,One year,0,Fiber optic,Electronic check
No,9,49.2,Month-to-month,1,DSL,Mailed check
Yes,1,20.9,Month-to-month,0,No,Mailed check
No,25,19.5,One year,0,No,Bank transfer (automatic)
No,22,87.0,Month-to-month,0,Fiber optic,Bank transfer (automatic)
No,15,49.0,Month-to-month,0,DSL,Electronic check
Yes,28,90.1,One year,0,Fiber optic,Bank transfer (automatic)
No,3,90.7,Month-to-month,0,Fiber optic,Mailed check
No,47,100.5,Month-to-month,0,Fiber optic,Electronic check
No,67,85.25,Two year,0,DSL,Mailed check
No,18,74.7,Month-to-month,1,Fiber optic,Electronic check
No,62,60.15,Two year,0,DSL,Credit card (automatic)
No,41,80.55,One year,0,DSL,Electronic check
No,44,50.15,Month-to-month,0,DSL,Mailed check
No,53,94.45,One year,0,Fiber optic,Credit card (automatic)
No,48,20.05,Two year,0,No,Mailed check
No,54,115.6,One year,1,Fiber optic,Bank transfer (automatic)
Yes,48,45.3,Month-to-month,0,DSL,Bank transfer (automatic)
No,24,99.65,Month-to-month,0,Fiber optic,Bank transfer (automatic)
,27,95.55,Month-to-month,1,Fiber optic,Electronic check
No,33,80.6,Two year,0,Fiber optic,Bank transfer (automatic)
No,66,85.25,Two year,0,DSL,Electronic check
No,3,69.55,Month-to-month,0,Fiber optic,Electronic check
No,13,35.4,Two year,0,DSL,Mailed check
No,63,83.5,Two year,0,DSL,Credit card (automatic)
Yes,23,83.8,Month-to-month,0,Fiber optic,Electronic check
No,52,25.6,Two year,0,No,Credit card (automatic)
No,3,20.75,Month-to-month,0,No,Credit card (automatic)
No,10,56.75,Month-to-month,0,DSL,Bank transfer (automatic)
No,72,20.1,Two year,0,No,Bank transfer (automatic)
No,29,98.8,Month-to-month,0,Fiber optic,Credit card (automatic)
No,62,104.85,One year,1,Fiber optic,Electronic check
Yes,41,73.0,One year,0,DSL,Electronic check
Yes,43,77.85,Month-to-month,0,Fiber optic,Electronic check
No,26,105.45,Two year,0,Fiber optic,Electronic check
No,19,96.8,Month-to-month,0,Fiber optic,Electronic check
No,72,24.25,Two year,0,No,Credit card (automatic)
No,45,102.15,One year,1,Fiber optic,Bank transfer (automatic)
No,32,64.85,One year,0,DSL,Bank transfer (automatic)
No,41,25.25,Month-to-month,0,No,Bank transfer (automatic)
No,65,24.75,Two year,0,No,Credit card (automatic)
Yes,55,96.75,Month-to-month,0,Fiber optic,Electronic check
No,11,19.65,Two year,0,No,Mailed check
No,49,74.45,Two year,0,DSL,Bank transfer (automatic)
No,61,99.4,Month-to-month,0,Fiber optic,Bank transfer (automatic)
No,25,19.15,Month-to-month,0,No,Mailed check
Yes,1,69.5,Month-to-month,0,Fiber optic,Electronic check
No,23,49.45,One year,0,DSL,Electronic check
No,21,73.7,Month-to-month,0,Fiber optic,Electronic check
Yes,1,79.7,Month-to-month,0,Fiber optic,Electronic check
Yes,5,79.9,Month-to-month,1,Fiber optic,Bank transfer (automatic)
No,24,74.4,One year,0,DSL,Bank transfer (automatic)
Yes,27,88.3,Month-to-month,1,Fiber optic,Credit card (automatic)
No,70,19.8,Two year,0,No,Bank transfer (automatic)
Yes,5,75.55,Month-to-month,1,Fiber optic,Credit card (automatic)
No,46,20.2,Two year,0,No,Mailed check
No,2,71.65,Month-to-month,0,Fiber optic,Electronic check
No,57,20.1,Two year,0,No,Bank transfer (automatic)
,9,69.05,Month-to-month,0,Fiber optic,Electronic check
Yes,1,71.1,Month-to-month,0,Fiber optic,Mailed check
No,60,100.5,One year,1,Fiber optic,Credit card (automatic)
No,37,62.8,Two year,0,DSL,Credit card (automatic)
Yes,1,70.45,Month-to-month,0,Fiber optic,Mailed check
No,28,100.35,One year,0,Fiber optic,Bank transfer (automatic)
No,24,20.3,Month-to-month,1,No,Mailed check
No,62,92.05,One year,0,Fiber optic,Electronic check
Yes,18,20.15,One year,0,No,Bank transfer (automatic)
Yes,5,54.2,Month-to-month,0,DSL,Electronic check
No,20,20.35,Month-to-month,0,No,Mailed check
Yes,1,70.75,Month-to-month,0,Fiber optic,Mailed check
Yes,35,102.35,One year,0,Fiber optic,Bank transfer (automatic)
No,52,50.5,Month-to-month,1,DSL,Electronic check
Yes,30,85.0,Month-to-month,0,Fiber optic,Electronic check
No,72,42.1,Two year,0,DSL,Bank transfer (automatic)
Yes,15,75.65,Month-to-month,1,Fiber optic,Electronic check
,1,24.8,Month-to-month,1,DSL,Electronic check
No,70,114.6,Two year,0,Fiber optic,Electronic check
No,66,65.7,Two year,0,DSL,Bank transfer (automatic)
No,55,74.0,Month-to-month,1,Fiber optic,Electronic check
Yes,55,85.45,Month-to-month,1,Fiber optic,Electronic check
No,57,71.1,One year,1,DSL,Credit card (automatic)
,6,93.55,Month-to-month,0,Fiber optic,Bank transfer (automatic)
No,72,109.55,Two year,0,Fiber optic,Electronic check
No,28,20.5,Month-to-month,0,No,Mailed check
No,54,74.55,Two year,0,DSL,Bank transfer (automatic)
No,24,79.85,Month-to-month,1,Fiber optic,Electronic check
No,2,62.15,Month-to-month,0,DSL,Mailed check
,14,25.55,Month-to-month,0,No,Mailed check
No,12,21.05,Month-to-month,0,No,Credit card (automatic)
,48,106.1,One year,0,Fiber optic,Credit card (automatic)
No,51,79.6,One year,1,Fiber optic,Bank transfer (automatic)
No,13,73.35,Month-to-month,0,DSL,Mailed check
No,58,70.1,Two year,0,DSL,Bank transfer (automatic)
No,18,54.4,One year,0,DSL,Credit card (automatic)
No,29,19.55,Two year,0,No,Mailed check
No,72,74.55,Two year,0,DSL,Mailed check
No,71,23.9,Two year,0,No,Credit card (automatic)
No,70,44.6,Two year,0,DSL,Bank transfer (automatic)
Yes,9,95.5,Month-to-month,0,Fiber optic,Electronic check
No,20,95.5,Month-to-month,0,Fiber optic,Bank transfer (automatic)
Yes,69,78.6,One year,0,DSL,Credit card (automatic)
No,63,104.5,One year,0,Fiber optic,Credit card (automatic)
,30,51.2,Month-to-month,0,DSL,Credit card (automatic)
No,7,61.4,Month-to-month,0,DSL,Electronic check
No,69,43.95,Two year,0,DSL,Credit card (automatic)
Yes,5,25.9,Month-to-month,0,No,Bank transfer (automatic)
No,9,80.55,Month-to-month,0,Fiber optic,Electronic check
No,46,99.65,Two year,0,Fiber optic,Mailed check
No,60,97.95,One year,1,Fiber optic,Electronic check
Yes,27,95.55,Month-to-month,1,Fiber optic,Electronic check
No,16,90.7,Month-to-month,0,Fiber optic,Electronic check
Yes,22,83.3,Month-to-month,0,Fiber optic,Electronic check
No,41,101.6,One year,0,Fiber optic,Bank transfer (automatic)
No,4,72.75,Month-to-month,1,Fiber optic,Electronic check
No,24,88.95,Month-to-month,0,Fiber optic,Credit card (automatic)
No,38,20.3,Two year,0,No,Mailed check
No,25,78.35,Month-to-month,0,DSL,Bank transfer (automatic)
No,40,80.0,Month-to-month,0,Fiber optic,Electronic check
Yes,8,49.85,Month-to-month,0,DSL,Electronic check
No,13,19.85,Month-to-month,0,No,Mailed check
No,64,91.8,Month-to-month,0,Fiber optic,Electronic check
Yes,62,100.15,Month-to-month,0,Fiber optic,Electronic check
No,20,69.8,Month-to-month,0,Fiber optic,Bank transfer (automatic)
Yes,14,46.35,Month-to-month,0,DSL,Electronic check
No,57,69.75,Two year,0,DSL,Mailed check
No,12,69.85,Month-to-month,0,DSL,Mailed check
No,59,25.45,Two year,0,No,Mailed check
No,59,75.95,Two year,0,DSL,Credit card (automatic)
Yes,53,19.75,Two year,0,No,Bank transfer (automatic)
No,45,78.75,One year,0,DSL,Credit card (automatic)
No,50,19.8,Two year,0,No,Electronic check
Yes,20,89.0,Month-to-month,0,Fiber optic,Mailed check
Yes,1,25.25,Month-to-month,1,DSL,Electronic check
No,70,19.2,Two year,0,No,Mailed check
Yes,1,25.05,Month-to-month,1,DSL,Electronic check
Yes,64,47.85,Two year,0,DSL,Electronic check
Yes,49,75.2,Month-to-month,0,Fiber optic,Credit card (automatic)
Yes,28,74.9,Month-to-month,0,Fiber optic,Bank transfer (automatic)
No,72,111.9,Two year,0,Fiber optic,Credit card (automatic)
No,13,81.9,Month-to-month,0,Fiber optic,Mailed check
No,4,18.85,Month-to-month,0,No,Mailed check
No,53,18.7,Two year,0,No,Mailed check
No,63,81.55,Month-to-month,0,Fiber optic,Bank transfer (automatic)
No,10,29.6,Two year,0,DSL,Mailed check
No,56,19.95,One year,0,No,Credit card (automatic)
Yes,10,45.55,Month-to-month,0,DSL,Electronic check
,44,20.05,Two year,0,No,Mailed check
No,65,93.55,One year,0,Fiber optic,Electronic check
No,1,48.45,Month-to-month,0,DSL,Bank transfer (automatic)
Yes,21,41.9,Month-to-month,1,DSL,Electronic check
No,29,20.2,Two year,0,No,Mailed check
No,72,24.15,Two year,0,No,Credit card (automatic)
Yes,22,67.5,One year,0,DSL,Bank transfer (automatic)
Yes,23,90.05,Month-to-month,0,Fiber optic,Bank transfer (automatic)
No,40,70.75,One year,0,DSL,Credit card (automatic)
Yes,2,76.5,Month-to-month,0,Fiber optic,Electronic check
Yes,13,84.05,Month-to-month,0,Fiber optic,Electronic check
Yes,16,95.6,Month-to-month,0,Fiber optic,Credit card (automatic)
,22,89.05,Month-to-month,0,Fiber optic,Electronic check
Yes,67,102.95,Month-to-month,0,Fiber optic,Credit card (automatic)
No,72,21.0,Two year,0,No,Bank transfer (automatic)
No,3,82.3,Month-to-month,0,Fiber optic,Mailed check
Yes,47,80.35,Month-to-month,1,Fiber optic,Electronic check
No,4,70.65,Month-to-month,1,Fiber optic,Electronic check
No,18,73.55,Month-to-month,1,Fiber optic,Electronic check
Yes,21,104.4,Month-to-month,0,Fiber optic,Electronic check
No,62,70.75,One year,0,DSL,Bank transfer (automatic)
Yes,7,98.05,Month-to-month,0,Fiber optic,Bank transfer (automatic)
No,29,48.95,Month-to-month,0,DSL,Bank transfer (automatic)
No,48,60.6,One year,0,DSL,Bank transfer (automatic)
No,53,78.75,One year,0,DSL,Mailed check
No,6,19.0,One year,0,No,Credit card (automatic)
No,22,56.25,One year,0,DSL,Credit card (automatic)
Yes,1,25.8,Month-to-month,1,DSL,Mailed check
No,72,99.4,Two year,0,Fiber optic,Electronic check
No,34,85.2,Month-to-month,1,Fiber optic,Credit card (automatic)
No,48,69.55,One year,0,DSL,Mailed check
No,21,28.5,Month-to-month,0,DSL,Electronic check
No,71,97.65,One year,0,Fiber optic,Credit card (automatic)
No,1,20.25,Month-to-month,0,No,Mailed check
